service_date,line,estimated_boardings,ObjectId
2021-03-03 05:00:00.000000 UTC,Lowell,899.0,2236
2021-02-25 05:00:00.000000 UTC,Lowell,878.0,2238
2021-03-11 05:00:00.000000 UTC,Lowell,911.0,2245
2021-03-26 04:00:00.000000 UTC,Lowell,902.0,2260
2021-03-04 05:00:00.000000 UTC,Lowell,896.0,2290
2021-02-26 05:00:00.000000 UTC,Lowell,891.0,2291
2021-03-29 04:00:00.000000 UTC,Lowell,1069.0,2304
2021-03-05 05:00:00.000000 UTC,Lowell,823.0,2326
2021-03-01 05:00:00.000000 UTC,Lowell,913.0,2327
2021-03-30 04:00:00.000000 UTC,Lowell,1025.0,2340
2021-03-19 04:00:00.000000 UTC,Lowell,983.0,2362
2021-03-22 04:00:00.000000 UTC,Lowell,991.0,2374
2021-03-23 04:00:00.000000 UTC,Lowell,981.0,2386
2021-03-24 04:00:00.000000 UTC,Lowell,930.0,2398
2021-04-27 04:00:00.000000 UTC,Lowell,2067.5,2409
2021-04-28 04:00:00.000000 UTC,Lowell,1764.0,2420
2021-04-29 04:00:00.000000 UTC,Lowell,1522.0,2431
2021-04-30 04:00:00.000000 UTC,Lowell,1371.0,2442
2021-05-07 04:00:00.000000 UTC,Lowell,1707.0,2454
2021-05-14 04:00:00.000000 UTC,Lowell,1731.0,2465
2021-05-17 04:00:00.000000 UTC,Lowell,1715.0,2477
2021-05-18 04:00:00.000000 UTC,Lowell,1701.0,2489
2021-05-19 04:00:00.000000 UTC,Lowell,1733.0,2501
2021-05-10 04:00:00.000000 UTC,Lowell,1588.0,2516
2021-05-11 04:00:00.000000 UTC,Lowell,1388.0,2528
2021-05-12 04:00:00.000000 UTC,Lowell,1570.0,2540
2021-05-13 04:00:00.000000 UTC,Lowell,1627.0,2552
2021-05-03 04:00:00.000000 UTC,Lowell,1482.5,2555
2021-05-04 04:00:00.000000 UTC,Lowell,1876.0,2569
2021-05-05 04:00:00.000000 UTC,Lowell,1818.0,2581
2021-05-06 04:00:00.000000 UTC,Lowell,1977.0,2593
2021-04-20 04:00:00.000000 UTC,Lowell,1700.5,2608
2021-04-21 04:00:00.000000 UTC,Lowell,1648.0,2619
2021-04-22 04:00:00.000000 UTC,Lowell,1520.0,2630
2021-04-23 04:00:00.000000 UTC,Lowell,1562.5,2641
2021-04-26 04:00:00.000000 UTC,Lowell,1885.0,2652
2021-04-06 04:00:00.000000 UTC,Lowell,1578.0,2657
2021-04-07 04:00:00.000000 UTC,Lowell,1645.5,2668
2021-04-08 04:00:00.000000 UTC,Lowell,1488.0,2679
2021-04-09 04:00:00.000000 UTC,Lowell,1576.5,2690
2021-04-12 04:00:00.000000 UTC,Lowell,1250.0,2701
2021-05-20 04:00:00.000000 UTC,Lowell,1832.0,2710
2021-05-21 04:00:00.000000 UTC,Lowell,2030.0,2724
2021-04-13 04:00:00.000000 UTC,Lowell,1448.5,2737
2021-05-24 04:00:00.000000 UTC,Lowell,2029.5,2748
2021-04-14 04:00:00.000000 UTC,Lowell,1459.0,2759
2021-05-25 04:00:00.000000 UTC,Lowell,2087.5,2772
2021-04-16 04:00:00.000000 UTC,Lowell,1342.5,2782
2021-04-19 04:00:00.000000 UTC,Lowell,1085.0,2793
2021-06-11 04:00:00.000000 UTC,Lowell,2393.0,2810
2021-06-14 04:00:00.000000 UTC,Lowell,1901.0,2822
2021-06-15 04:00:00.000000 UTC,Lowell,2023.0,2834
2021-06-16 04:00:00.000000 UTC,Lowell,2428.0,2846
2021-05-26 04:00:00.000000 UTC,Lowell,1937.0,2857
2021-05-27 04:00:00.000000 UTC,Lowell,1716.5,2869
2021-05-28 04:00:00.000000 UTC,Lowell,1462.5,2881
2021-07-03 04:00:00.000000 UTC,Lowell,527.0,2916
2021-05-31 04:00:00.000000 UTC,Lowell,250.0,2918
2021-06-29 04:00:00.000000 UTC,Lowell,2196.0,2921
